partida,desc,a√±o,valor,desc_corta,tipo,subtipo_agro
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2000-01-01,53.7980659299999,Esp·rragos frescos,Agro,Esp·rragos frescos
804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS",2000-01-01,23.30509305,Mango,Agro,Mango
710800000,LAS DEMAS HORTALIZAS(INCLUSO SILVESTRES) AUNQUE ESTEN COCIDAS EN AGUA O VAPOR O CONGE,2000-01-01,12.96432379,Dem·s hortalizas,Agro,Hortalizas
711200000,"ACEITUNAS CONSERVADAS PROVISIONALMENTE, TODAVIA IMPROPIAS EL CONSUMO INMEDIATO",2000-01-01,7.31314583,Aceitunas conservadas,Agro,Aceitunas
703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",2000-01-01,6.4614211699999995,Cebollas,Agro,Cebollas
806100000,UVAS FRESCAS,2000-01-01,5.98177964,Uvas frescas,Agro,Uvas frescas
904200000,"FRUTOS DE LOS GENEROS CAPSICUM O PIMENTA, SECOS, TRITURADOS O PULVERIZADOS",2000-01-01,5.90355001,Pimiento,Agro,Pimiento
712909000,"DEMAS HORTALIZAS,MEZCLAS DE HORTALIZAS,CORTADAS EN TROZOS O RODAJ.,TRITU.O PULV.,SIN",2000-01-01,3.84590386,Dem·s hortalizas cortadas,Agro,Hortalizas
801220000,NUECES DEL BRASIL SIN  CASCARA  FRESCAS O SECAS,2000-01-01,3.4138319,Nueces del Brasil,Agro,Nueces
1404103000,TARA,2000-01-01,2.9920261200000002,Tara,Agro,Tara
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2001-01-01,63.4357369900001,Esp·rragos frescos,Agro,Esp·rragos frescos
804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS",2001-01-01,25.693990890000002,Mango,Agro,Mango
904200000,"FRUTOS DE LOS GENEROS CAPSICUM O PIMENTA, SECOS, TRITURADOS O PULVERIZADOS",2001-01-01,16.02694529,Pimiento,Agro,Pimiento
710800000,LAS DEMAS HORTALIZAS(INCLUSO SILVESTRES) AUNQUE ESTEN COCIDAS EN AGUA O VAPOR O CONGE,2001-01-01,14.588425710000001,Dem·s hortalizas,Agro,Hortalizas
703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",2001-01-01,11.761054810000001,Cebollas,Agro,Cebollas
806100000,UVAS FRESCAS,2001-01-01,11.16662476,Uvas frescas,Agro,Uvas frescas
713339000,FRIJOL COMUN (PHASEOLUS VULGARIS) EXCTO. PARA SIEMBRA,2001-01-01,6.2858772300000005,Frijol,Agro,Frijol
711200000,"ACEITUNAS CONSERVADAS PROVISIONALMENTE, TODAVIA IMPROPIAS EL CONSUMO INMEDIATO",2001-01-01,5.7706792,Aceitunas conservadas,Agro,Aceitunas
712909000,"DEMAS HORTALIZAS,MEZCLAS DE HORTALIZAS,CORTADAS EN TROZOS O RODAJ.,TRITU.O PULV.,SIN",2001-01-01,5.6929232999999995,Dem·s hortalizas cortadas,Agro,Hortalizas
1404103000,TARA,2001-01-01,4.91996603,Tara,Agro,Tara
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2002-01-01,82.97832967000019,Esp·rragos frescos,Agro,Esp·rragos frescos
804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS",2002-01-01,33.01858501,Mango,Agro,Mango
904200000,"FRUTOS DE LOS GENEROS CAPSICUM O PIMENTA, SECOS, TRITURADOS O PULVERIZADOS",2002-01-01,19.421659579999996,Pimiento,Agro,Pimiento
806100000,UVAS FRESCAS,2002-01-01,18.750487879999998,Uvas frescas,Agro,Uvas frescas
710801000,ESPARRAGOS,2002-01-01,16.45456986,Esp·rragos,Agro,Esp·rragos
703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",2002-01-01,12.89723583,Cebollas,Agro,Cebollas
712909000,"DEMAS HORTALIZAS,MEZCLAS DE HORTALIZAS,CORTADAS EN TROZOS O RODAJ.,TRITU.O PULV.,SIN",2002-01-01,7.77870459,Dem·s hortalizas cortadas,Agro,Hortalizas
1404103000,TARA,2002-01-01,6.69384826,Tara,Agro,Tara
805201000,MANDARINAS (INCLUIDAS LAS TANGERINAS Y SATSUMAS) FRESCAS O SECAS,2002-01-01,6.37913106,Mandarinas,Agro,Mandarinas
803001200,"BANANAS O PLATANOS TIPO ""CAVENDISH VALERY"" FRESCOS",2002-01-01,6.1818225,Pl·tanos,Agro,Pl·tanos
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS",2003-01-01,108.33854886,Esp·rragos frescos,Agro,Esp·rragos frescos
804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS",2003-01-01,31.018331710000002,Mango,Agro,Mango
806100000,UVAS FRESCAS,2003-01-01,23.25822722,Uvas frescas,Agro,Uvas frescas
904200000,"FRUTOS DE LOS GENEROS CAPSICUM O PIMENTA, SECOS, TRITURADOS O PULVERIZADOS",2003-01-01,22.38094286,Pimiento,Agro,Pimiento
710801000,ESPARRAGOS,2003-01-01,16.20496795,Esp·rragos,Agro,Esp·rragos
804400000,"AGUACATES (PALTAS) , FRESCAS O SECAS",2003-01-01,15.72229786,Palta,Agro,Palta
703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS",2003-01-01,11.38023065,Cebollas,Agro,Cebollas
712909000,"DEMAS HORTALIZAS,MEZCLAS DE HORTALIZAS,CORTADAS EN TROZOS O RODAJ.,TRITU.O PULV.,SIN",2003-01-01,8.58872922999999,Dem·s hortalizas cortadas,Agro,Hortalizas
713399200,FRIJOL CASTILLA,2003-01-01,8.45467549,Frijol Castilla,Agro,Frijol
